symbol,title,publisher,link,published_at,summary,polarity,subjectivity,label
GALLANTT.NS,Exploring 3 Undiscovered Gems with Promising Potential,Simply Wall St.,https://finance.yahoo.com/news/exploring-3-undiscovered-gems-promising-230432450.html,2024-11-19T23:04:32Z,"In the current climate of global markets, where U.S. stocks have recently retracted some gains amid policy uncertainties and economic indicators suggest mixed signals, investors are keenly observing small-cap sectors for potential opportunities. With key indices like the S&P 600 reflecting these dynamics, identifying promising stocks often involves looking beyond immediate market sentiment to uncover companies with strong fundamentals and growth potential.",0.08333333333333333,0.5333333333333333,mostly truth
GALLANTT.NS,Uncovering 3 Hidden Gems in India's Stock Market,Simply Wall St.,https://finance.yahoo.com/news/uncovering-3-hidden-gems-indias-100649991.html,2024-08-16T10:06:49Z,"The Indian market has stayed flat over the past 7 days but is up 41% over the past year, with earnings expected to grow by 17% annually. In this thriving environment, uncovering hidden gems that show strong potential and align with these growth trends can be particularly rewarding for investors.",0.017708333333333333,0.5114583333333333,mostly truth
GALLANTT.NS,Undiscovered Gems In India Featuring 3 Promising Small Caps,Simply Wall St.,https://finance.yahoo.com/news/undiscovered-gems-india-featuring-3-010709418.html,2024-08-16T01:07:09Z,"Over the last 7 days, the Indian market has dropped 1.1%, but it has risen by an impressive 41% over the past year, with earnings expected to grow by 17% per annum in the coming years. In this dynamic environment, identifying promising small-cap stocks can be a strategic move for investors looking to capitalize on growth opportunities.",0.1416666666666667,0.3972222222222223,mostly truth
GALLANTT.NS,Discovering Undiscovered Gems in India August 2024,Simply Wall St.,https://finance.yahoo.com/news/discovering-undiscovered-gems-india-august-100737815.html,2024-08-15T10:07:37Z,"Over the last 7 days, the Indian market has dropped 1.1%, but it has seen a remarkable increase of 41% over the past year, with earnings forecasted to grow by 17% annually. In this dynamic environment, identifying promising stocks that are still under the radar can offer significant opportunities for investors looking to capitalize on India's growth trajectory.",0.17916666666666667,0.43472222222222223,mostly truth
GALLANTT.NS,Undiscovered Gems In India Top Stock Picks For August 2024,Simply Wall St.,https://finance.yahoo.com/news/undiscovered-gems-india-top-stock-010815245.html,2024-08-15T01:08:15Z,"The Indian market has climbed 1.1% over the last week and is up an impressive 42% over the last 12 months, with earnings forecasted to grow by 17% annually. In this thriving environment, identifying promising stocks that are still under the radar can offer significant opportunities for investors looking to capitalize on growth potential.",0.2625,0.5847222222222223,mostly truth
GALLANTT.NS,Uncovering Gallantt Ispat And Two Other Hidden Small Cap Treasures,Simply Wall St.,https://finance.yahoo.com/news/uncovering-gallantt-ispat-two-other-101024823.html,2024-08-14T10:10:24Z,"The Indian market has shown robust performance, increasing by 1.1% over the last week and climbing 42% in the past year, with earnings forecasted to grow by 17% annually. In this thriving environment, identifying small-cap stocks like Gallantt Ispat that have strong growth potential and solid fundamentals can offer unique investment opportunities.",0.09305555555555556,0.525,mostly truth
GALLANTT.NS,Discovering 3 Hidden Gems In India For Your Portfolio,Simply Wall St.,https://finance.yahoo.com/news/discovering-3-hidden-gems-india-010715744.html,2024-08-14T01:07:15Z,"The Indian market has seen a notable increase, rising by 1.6% over the last week and climbing 43% in the past year, with earnings projected to grow by 17% annually in the coming years. In this dynamic environment, identifying stocks with strong fundamentals and growth potential can significantly enhance your portfolio's performance.",0.15119047619047618,0.5130952380952382,mostly truth
CAPACITE.BO,Exploring Three Undiscovered Gems with Promising Potential,Simply Wall St.,https://finance.yahoo.com/news/exploring-three-undiscovered-gems-promising-230908563.html,2024-11-20T23:09:08Z,"In recent weeks, global markets have experienced a mix of volatility and cautious optimism, driven by policy uncertainties and fluctuating economic indicators. As investors navigate these conditions, small-cap stocks have shown both challenges and opportunities, with indices like the Russell 2000 reflecting this dynamic environment. In such a landscape, identifying promising stocks often involves looking for those with strong fundamentals and potential to thrive despite broader market...",0.18148148148148147,0.4722222222222222,mostly truth
CAPACITE.BO,Discover 3 High Growth Companies With Strong Insider Ownership On The Indian Exchange,Simply Wall St.,https://finance.yahoo.com/news/discover-3-high-growth-companies-010335883.html,2024-08-14T01:03:35Z,"The Indian market has shown impressive performance, rising 1.6% in the last 7 days and climbing 43% over the past year, with earnings projected to grow by 17% annually in the coming years. In such a robust environment, identifying growth companies with high insider ownership can be particularly advantageous as it often signals strong confidence from those closest to the business.",0.21571428571428572,0.48904761904761906,mostly truth
CAPACITE.BO,Indian Exchange Growth Leaders With High Insider Ownership And Up To 53% Earnings Growth,Simply Wall St.,https://finance.yahoo.com/news/indian-exchange-growth-leaders-high-010351929.html,2024-07-16T01:03:51Z,"Over the last 7 days, the Indian market has remained stable, while showcasing a robust growth of 45% over the past year. With earnings expected to grow by 16% annually, companies with high insider ownership can be particularly appealing as they often indicate a strong alignment between company management and shareholder interests.",0.1238888888888889,0.415,mostly truth
CAPACITE.BO,Three Indian Exchange Growth Companies With Insider Ownership As High As 31%,Simply Wall St.,https://finance.yahoo.com/news/three-indian-exchange-growth-companies-010605300.html,2024-06-17T01:06:05Z,"The Indian market has shown robust growth, climbing 2.7% in the last week and an impressive 45% over the past year, with earnings projected to grow by 16% annually. In this thriving environment, stocks of growth companies with high insider ownership often signal strong confidence from those most familiar with the company's prospects and operations.",0.3169047619047619,0.5128571428571428,mostly truth
CAPACITE.BO,Exploring Three Indian Exchange Growth Companies With High Insider Ownership,Simply Wall St.,https://finance.yahoo.com/news/exploring-three-indian-exchange-growth-093347859.html,2024-05-17T09:33:47Z,"The Indian market has shown robust performance, with a 3.4% increase in the last week and an impressive 44% rise over the past twelve months, alongside forecasts predicting annual earnings growth of 17%. In such a thriving environment, stocks with high insider ownership can be particularly appealing, as they often indicate that company leaders have a vested interest in their organization's success and future growth.",0.21375000000000002,0.3727083333333333,mostly truth
CDSL.NS,Central Depository Services (India) Ltd (NSE:CDSL) Q2 2025 Earnings Call Highlights: Robust ...,GuruFocus.com,https://finance.yahoo.com/news/central-depository-services-india-ltd-130023229.html,2024-10-29T13:00:23Z,"CDSL reports a significant increase in income and profit, driven by digital innovation and a growing user base, despite facing competitive challenges.",-0.1416666666666667,0.625,neutral
CDSL.NS,Central Depository Services (India) Ltd (NSE:CDSL) Q1 2025 Earnings Call Highlights: Record ...,GuruFocus.com,https://finance.yahoo.com/news/central-depository-services-india-ltd-195914347.html,2024-10-09T19:59:14Z,"Central Depository Services (India) Ltd (NSE:CDSL) reports a remarkable 65% increase in total income and an 82% surge in net profit for Q1 FY25, driven by strategic investments and market expansion.",0.1875,0.4375,mostly truth
KPIL.NS,3 Growth Companies With Insider Ownership Up To 26%,Simply Wall St.,https://finance.yahoo.com/news/3-growth-companies-insider-ownership-120330817.html,2024-11-06T12:03:30Z,"In a week marked by busy earnings reports and economic data, global markets showed mixed performances, with major indices like the Nasdaq Composite and S&P MidCap 400 reaching record highs before retreating. Amidst this volatility, growth stocks lagged behind value shares as cautious earnings reports from tech giants influenced investor sentiment. In such an environment, companies with high insider ownership can be particularly appealing to investors seeking alignment of interests between...",0.07225000000000001,0.409,mostly truth
KPIL.NS,3 Stocks Estimated To Be Up To 40.7% Below Intrinsic Value,Simply Wall St.,https://finance.yahoo.com/news/3-stocks-estimated-40-7-050224193.html,2024-11-01T05:02:24Z,"As global markets react to rising U.S. Treasury yields, with the S&P 500 Index experiencing a decline after several weeks of gains, investors are closely monitoring economic indicators and central bank policies for signals on future market movements. In this environment of fluctuating interest rates and moderated inflation, identifying undervalued stocks can be a strategic move for those looking to capitalize on potential market inefficiencies, particularly when these stocks are estimated to...",0.05238095238095238,0.2726190476190476,mostly truth
KPIL.NS,Indian Growth Stocks With Strong Insider Ownership,Simply Wall St.,https://finance.yahoo.com/news/indian-growth-stocks-strong-insider-010350842.html,2024-10-08T01:03:50Z,"Over the last 7 days, the Indian market has dropped 3.6%, but it has shown resilience with a 40% rise over the past year, and earnings are expected to grow by 17% annually in the coming years. In this context, growth companies with high insider ownership can be particularly appealing as they often signal confidence from those closest to the business and may align well with long-term growth prospects.",0.06200000000000001,0.35133333333333333,mostly truth
KPIL.NS,3 Indian Stocks That Could Be Trading At Discounts Of Up To 49.9%,Simply Wall St.,https://finance.yahoo.com/news/3-indian-stocks-could-trading-010555473.html,2024-09-24T01:05:55Z,"The Indian market has seen a remarkable 44% rise over the past 12 months, with the Utilities sector gaining 3.5% even as the overall market remained flat last week. With earnings forecasted to grow by 17% annually, identifying undervalued stocks that could be trading at significant discounts becomes crucial for investors looking to capitalize on potential growth opportunities.",0.10625,0.5083333333333333,mostly truth
KPIL.NS,3 Growth Companies With High Insider Ownership On The Indian Exchange,Simply Wall St.,https://finance.yahoo.com/news/3-growth-companies-high-insider-010335962.html,2024-09-09T01:03:35Z,"Over the last 7 days, the Indian market has dropped 1.0%, but it is up 39% over the last year, with earnings expected to grow by 17% per annum in the coming years. In this context, identifying growth companies with high insider ownership can be crucial as it often indicates strong confidence from those who know the business best.",0.21333333333333332,0.44380952380952376,mostly truth
KPIL.NS,3 Indian Stocks With Estimated Undervaluation In September 2024,Simply Wall St.,https://finance.yahoo.com/news/3-indian-stocks-estimated-undervaluation-010345612.html,2024-09-04T01:03:45Z,"Over the last 7 days, the Indian market has remained flat, yet it has surged by 44% over the past year with earnings forecasted to grow by 17% annually. In this context, identifying undervalued stocks can provide significant opportunities for investors looking to capitalize on potential growth and value in a thriving market.",0.019999999999999997,0.46333333333333326,mostly truth
KPIL.NS,3 Indian Growth Stocks With Insider Ownership Up To 35%,Simply Wall St.,https://finance.yahoo.com/news/3-indian-growth-stocks-insider-093336796.html,2024-08-09T09:33:36Z,"Over the last 7 days, the Indian market has dropped 3.5%. However, it has risen by 41% in the past year and earnings are forecast to grow by 17% annually. In this context, growth companies with high insider ownership can be particularly appealing as they often indicate strong confidence from those closest to the business.",0.16866666666666666,0.418,mostly truth
KPIL.NS,Indian Exchange Growth Companies With High Insider Ownership And 16% Revenue Increase,Simply Wall St.,https://finance.yahoo.com/news/indian-exchange-growth-companies-high-093358227.html,2024-07-11T09:33:58Z,"The Indian market has shown remarkable growth, surging 45% over the past year with earnings projected to increase by 16% annually. In such a thriving environment, stocks like those of growth companies with high insider ownership can be particularly compelling, as they often signal strong confidence in the company's future from those who know it best.",0.2991666666666667,0.47479166666666667,mostly truth
KPIL.NS,Indian Exchange Growth Leaders With High Insider Ownership In July 2024,Simply Wall St.,https://finance.yahoo.com/news/indian-exchange-growth-leaders-high-093405027.html,2024-07-09T09:34:05Z,"The Indian stock market has shown robust growth, rising 1.5% in the past week and an impressive 46% over the last 12 months, with earnings expected to grow by 16% annually. In this flourishing environment, stocks with high insider ownership can be particularly appealing as they often indicate a strong alignment between company management and shareholder interests.",0.24904761904761905,0.4985714285714286,mostly truth
KPIL.NS,Indian Exchange Growth Companies With At Least 10% Insider Ownership,Simply Wall St.,https://finance.yahoo.com/news/indian-exchange-growth-companies-least-010604066.html,2024-07-09T01:06:04Z,"The Indian market has shown robust performance, rising 2.4% in the last week and an impressive 46% over the past year, with earnings expected to grow by 16% annually. In such a thriving environment, stocks of growth companies with high insider ownership can be particularly appealing as they often indicate confidence from those who know the company best.",0.28875,0.44458333333333333,mostly truth
CMSINFO.NS,3 Indian Stocks Estimated To Be Trading Below Intrinsic Value By Over 16.3%,Simply Wall St.,https://finance.yahoo.com/news/3-indian-stocks-estimated-trading-010208234.html,2024-09-06T01:02:08Z,"The Indian market has stayed flat over the past 7 days but is up an impressive 43% over the past year, with earnings forecasted to grow by 17% annually. In this robust environment, identifying stocks trading below their intrinsic value can offer significant opportunities for investors seeking to capitalize on potential growth.",0.14166666666666666,0.5833333333333334,mostly truth
CMSINFO.NS,### 3 Indian Exchange Stocks Estimated Up To 38.1% Below Intrinsic Value,Simply Wall St.,https://finance.yahoo.com/news/3-indian-exchange-stocks-estimated-010509101.html,2024-08-22T01:05:09Z,"The Indian market has experienced a notable uptick, rising 2.6% in the last 7 days with all sectors gaining ground, and climbing 44% over the past year. In this robust environment, identifying undervalued stocks can offer significant opportunities for investors looking to capitalize on future earnings growth projected at 17% annually.",0.23750000000000002,0.4527777777777778,mostly truth
CMSINFO.NS,Archean Chemical Industries And 2 More Value Stocks Trading At A Discount On The Indian Exchange,Simply Wall St.,https://finance.yahoo.com/news/archean-chemical-industries-2-more-010432283.html,2024-08-02T01:04:32Z,"Over the past 7 days, the Indian market has risen 2.8%, and over the past 12 months, it is up an impressive 48%, with earnings forecast to grow by 16% annually. In this thriving market environment, identifying undervalued stocks like Archean Chemical Industries can offer significant opportunities for investors seeking value investments at a discount.",0.21875,0.59375,mostly truth
UNIONBANK.NS,"While institutions own 14% of Union Bank of India (NSE:UNIONBANK), state or government are its largest shareholders with 75% ownership",Simply Wall St.,https://finance.yahoo.com/news/union-bank-india-nsei-unionbank-011006575.html,2024-11-18T01:10:06Z,Key Insights Union Bank of India's significant state or government ownership suggests that the key decisions are influenced by shareholders from the larger public 75% of the company is held by a single shareholder (India) Institutional ownership in Union Bank of India is 14%,0.0505952380952381,0.6093253968253969,mostly truth
UNIONBANK.NS,Union Bank of India (BOM:532477) Q2 2025 Earnings Call Highlights: Record Profits Amidst Asset ...,GuruFocus.com,https://finance.yahoo.com/news/union-bank-india-bom-532477-070052827.html,2024-10-23T07:00:52Z,"Union Bank of India (BOM:532477) reports highest ever operating and net profits, with significant improvements in asset quality and digital advancements.",0.125,0.2916666666666667,mostly truth
UNIONBANK.NS,3 Indian Dividend Stocks Yielding Up To 3.2%,Simply Wall St.,https://finance.yahoo.com/news/3-indian-dividend-stocks-yielding-010406155.html,2024-10-21T01:04:06Z,"The Indian market has experienced a flat performance over the past week but has seen an impressive 40% rise in the last 12 months, with earnings forecasted to grow by 17% annually. In this dynamic environment, dividend stocks can offer investors a blend of income and potential growth, making them an attractive option for those looking to capitalize on steady returns amidst rising market conditions.",0.27685185185185185,0.5564814814814815,mostly truth
UNIONBANK.NS,Indian Dividend Stocks To Consider In October 2024,Simply Wall St.,https://finance.yahoo.com/news/indian-dividend-stocks-consider-october-010603267.html,2024-10-04T01:06:03Z,"The Indian market has been flat over the last week but is up an impressive 45% over the past year, with earnings forecast to grow by 17% annually. In this dynamic environment, identifying dividend stocks that offer a stable income stream and potential for capital appreciation can be a prudent strategy for investors seeking to balance growth and income.",0.12083333333333333,0.43472222222222223,mostly truth
UNIONBANK.NS,3 Dividend Stocks On Indian Exchange Yielding Up To 5.2%,Simply Wall St.,https://finance.yahoo.com/news/3-dividend-stocks-indian-exchange-010705085.html,2024-09-12T01:07:05Z,"The Indian market has been flat in the last week but is up 41% over the past year, with earnings expected to grow by 17% per annum over the next few years. In this promising environment, dividend stocks can offer a stable income stream and potential for capital appreciation, making them an attractive option for investors seeking reliable returns.",0.047222222222222235,0.38240740740740736,mostly truth
